d,p,logical_error_rate,total_fails,num_shots
3,0.0005,0,0,250
3,0.0007,0,0,250
3,0.001,0,0,250
3,0.0014,0,0,250
3,0.002,0,0,250
3,0.0028,0.004,1,250
3,0.004,0.004,1,250
3,0.0056,0.004,1,250
3,0.008,0.02,5,250
3,0.011,0.008,2,250
3,0.016,0.016,4,250
3,0.022,0.036,9,250
3,0.031,0.068,17,250
3,0.044,0.104,26,250
3,0.063,0.18,45,250
3,0.088,0.324,81,250
3,0.125,0.392,98,250
3,0.176,0.472,118,250
3,0.25,0.64,160,250
5,0.0005,0,0,250
5,0.0007,0,0,250
5,0.001,0,0,250
5,0.0014,0,0,250
5,0.002,0,0,250
5,0.0028,0,0,250
5,0.004,0,0,250
5,0.0056,0,0,250
5,0.008,0,0,250
5,0.011,0.004,1,250
5,0.016,0.012,3,250
5,0.022,0.024,6,250
5,0.031,0.092,23,250
5,0.044,0.16,40,250
5,0.063,0.304,76,250
5,0.088,0.372,93,250
5,0.125,0.508,127,250
7,0.0005,0,0,250
7,0.0007,0,0,250
7,0.001,0,0,250
7,0.0014,0,0,250
7,0.002,0,0,250
7,0.0028,0,0,250
7,0.004,0,0,250
7,0.0056,0,0,250
7,0.008,0,0,250
7,0.011,0,0,250
7,0.016,0,0,250
7,0.022,0.028,7,250
7,0.031,0.088,22,250
7,0.044,0.144,36,250
7,0.063,0.308,77,250
7,0.088,0.432,108,250
7,0.125,0.452,113,250
7,0.176,0.508,127,250
9,0.0005,0,0,250
9,0.0007,0,0,250
9,0.001,0,0,250
9,0.0014,0,0,250
9,0.002,0,0,250
9,0.0028,0,0,250
9,0.004,0,0,250
9,0.0056,0,0,250
9,0.008,0,0,250
9,0.011,0,0,250
9,0.016,0,0,250
9,0.022,0,0,250
9,0.031,0.032,8,250
9,0.044,0.148,37,250
9,0.063,0.356,89,250
9,0.088,0.468,117,250
9,0.125,0.46,115,250
9,0.176,0.504,126,250
11,0.0005,0,0,250
11,0.0007,0,0,250
11,0.001,0,0,250
11,0.0014,0,0,250
11,0.002,0,0,250
11,0.0028,0,0,250
11,0.004,0,0,250
11,0.0056,0,0,250
11,0.008,0,0,250
11,0.011,0,0,250
11,0.016,0.004,1,250
11,0.022,0.008,2,250
11,0.031,0.02,5,250
11,0.044,0.132,33,250
11,0.063,0.344,86,250
11,0.088,0.484,121,250
13,0.0005,0,0,250
13,0.0007,0,0,250
13,0.001,0,0,250
13,0.0014,0,0,250
13,0.002,0,0,250
13,0.0028,0,0,250
13,0.004,0,0,250
13,0.0056,0,0,250
13,0.008,0,0,250
13,0.011,0,0,250
13,0.016,0,0,250
13,0.022,0.004,1,250
13,0.031,0.016,4,250
13,0.044,0.164,41,250
13,0.063,0.452,113,250
13,0.088,0.484,121,250
15,0.0005,0,0,250
15,0.0007,0,0,250
15,0.001,0,0,250
15,0.0014,0,0,250
15,0.002,0,0,250
15,0.0028,0,0,250
15,0.004,0,0,250
15,0.0056,0,0,250
15,0.008,0,0,250
15,0.011,0,0,250
15,0.016,0,0,250
15,0.022,0,0,250
15,0.031,0.004,1,250
15,0.044,0.172,43,250
15,0.063,0.452,113,250
15,0.088,0.432,108,250
15,0.125,0.536,134,250
17,0.0005,0,0,250
17,0.0007,0,0,250
17,0.001,0,0,250
17,0.0014,0,0,250
17,0.002,0,0,250
17,0.0028,0,0,250
17,0.004,0,0,250
17,0.0056,0,0,250
17,0.008,0,0,250
17,0.011,0,0,250
17,0.016,0,0,250
17,0.022,0,0,250
17,0.031,0.012,3,250
17,0.044,0.148,37,250
17,0.063,0.468,117,250
17,0.088,0.464,116,250
17,0.125,0.452,113,250
17,0.176,0.508,127,250
