d,p,logical_error_rate,total_fails,num_shots
3,0.005,0.004,2,500
3,0.008,0.014,7,500
3,0.012,0.048,24,500
3,0.018,0.088,44,500
3,0.028,0.202,101,500
3,0.042,0.282,141,500
3,0.065,0.39,195,500
3,0.09,0.44,220,500
3,0.11,0.978,489,500
5,0.005,0.002,1,500
5,0.008,0.022,11,500
5,0.012,0.054,27,500
5,0.018,0.158,79,500
5,0.028,0.288,144,500
5,0.042,0.476,238,500
5,0.065,0.552,276,500
5,0.09,0.588,294,500
5,0.11,0.668,334,500
7,0.005,0.002,1,500
7,0.008,0.028,14,500
7,0.012,0.04,20,500
7,0.018,0.18,90,500
7,0.028,0.44,220,500
7,0.042,0.546,273,500
7,0.065,0.602,301,500
7,0.09,0.648,324,500
7,0.11,0.78,390,500
9,0.005,0.004,2,500
9,0.008,0.044,22,500
9,0.012,0.032,16,500
9,0.018,0.196,98,500
9,0.028,0.478,239,500
9,0.042,0.602,301,500
9,0.065,0.66,330,500
11,0.005,0,0,500
11,0.008,0.014,7,500
11,0.012,0.038,19,500
11,0.018,0.286,143,500
11,0.028,0.516,258,500
11,0.042,0.622,311,500
11,0.065,0.714,357,500
13,0.005,0,0,500
13,0.008,0.032,16,500
13,0.012,0.03,15,500
13,0.018,0.29,145,500
13,0.028,0.48,240,500
13,0.042,0.678,339,500
