d,p,logical_error_rate,total_fails,num_shots
3,0.005,0.002,1,500
3,0.008,0.016,8,500
3,0.012,0.008,4,500
3,0.018,0.024,12,500
3,0.028,0.066,33,500
3,0.042,0.112,56,500
3,0.065,0.178,89,500
3,0.09,0.32,160,500
3,0.11,0.426,213,500
3,0.13,0.49,245,500
3,0.15,0.568,284,500
3,0.17,0.582,291,500
3,0.19,0.614,307,500
3,0.22,0.612,306,500
3,0.26,0.676,338,500
5,0.005,0,0,500
5,0.008,0,0,500
5,0.012,0.002,1,500
5,0.018,0.014,7,500
5,0.028,0.046,23,500
5,0.042,0.104,52,500
5,0.065,0.266,133,500
5,0.09,0.452,226,500
5,0.11,0.556,278,500
5,0.13,0.632,316,500
5,0.15,0.698,349,500
7,0.005,0,0,500
7,0.008,0,0,500
7,0.012,0,0,500
7,0.018,0.006,3,500
7,0.028,0.028,14,500
7,0.042,0.11,55,500
7,0.065,0.28,140,500
7,0.09,0.518,259,500
7,0.11,0.656,328,500
7,0.13,0.728,364,500
9,0.005,0,0,500
9,0.008,0.002,1,500
9,0.012,0,0,500
9,0.018,0,0,500
9,0.028,0.01,5,500
9,0.042,0.068,34,500
9,0.065,0.288,144,500
9,0.09,0.598,299,500
9,0.11,0.716,358,500
11,0.005,0,0,500
11,0.008,0,0,500
11,0.012,0,0,500
11,0.018,0,0,500
11,0.028,0.008,4,500
11,0.042,0.042,21,500
11,0.065,0.294,147,500
11,0.09,0.648,324,500
11,0.11,0.718,359,500
13,0.005,0,0,500
13,0.008,0,0,500
13,0.012,0,0,500
13,0.018,0,0,500
13,0.028,0.004,2,500
13,0.042,0.032,16,500
13,0.065,0.366,183,500
13,0.09,0.714,357,500
