d,p,logical_error_rate,total_fails,num_shots
3,0.005,0.058,58,1000
3,0.008,0.095,95,1000
3,0.012,0.132,132,1000
3,0.018,0.163,163,1000
3,0.028,0.265,265,1000
3,0.042,0.343,343,1000
3,0.065,0.462,462,1000
3,0.09,0.594,594,1000
3,0.11,0.647,647,1000
3,0.13,0.664,664,1000
5,0.005,0.141,141,1000
5,0.008,0.172,172,1000
5,0.012,0.285,285,1000
5,0.018,0.401,401,1000
5,0.028,0.493,493,1000
5,0.042,0.615,615,1000
5,0.065,0.687,687,1000
7,0.005,0.25,250,1000
7,0.008,0.376,376,1000
7,0.012,0.473,473,1000
7,0.018,0.549,549,1000
7,0.028,0.672,672,1000
9,0.005,0.358,358,1000
9,0.008,0.488,488,1000
9,0.012,0.611,611,1000
9,0.018,0.674,674,1000
11,0.005,0.459,459,1000
11,0.008,0.609,609,1000
11,0.012,0.695,695,1000
13,0.005,0.577,577,1000
13,0.008,0.66,660,1000
15,0.005,0.649,649,1000
15,0.008,0.671,671,1000
