d,p,logical_error_rate,total_fails,num_shots
3,0.0005,0,0,5000
3,0.0007,0.0002,1,5000
3,0.001,0,0,5000
3,0.0014,0.0008,4,5000
3,0.002,0.0006,3,5000
3,0.0028,0.0018,9,5000
3,0.004,0.0042,21,5000
3,0.0056,0.0092,46,5000
3,0.008,0.0218,109,5000
3,0.011,0.0284,142,5000
3,0.016,0.0548,274,5000
3,0.022,0.175,875,5000
3,0.031,0.2366,1183,5000
3,0.044,0.3012,1506,5000
3,0.063,0.4062,2031,5000
3,0.088,0.4862,2431,5000
3,0.125,0.6748,3374,5000
5,0.0005,0,0,5000
5,0.0007,0,0,5000
5,0.001,0,0,5000
5,0.0014,0.0002,1,5000
5,0.002,0,0,5000
5,0.0028,0.0002,1,5000
5,0.004,0.0026,13,5000
5,0.0056,0.0046,23,5000
5,0.008,0.0138,69,5000
5,0.011,0.0254,127,5000
5,0.016,0.0712,356,5000
5,0.022,0.1778,889,5000
5,0.031,0.4616,2308,5000
5,0.044,0.5644,2822,5000
5,0.063,0.6458,3229,5000
5,0.088,0.717,3585,5000
7,0.0005,0,0,5000
7,0.0007,0,0,5000
7,0.001,0,0,5000
7,0.0014,0,0,5000
7,0.002,0,0,5000
7,0.0028,0,0,5000
7,0.004,0.0006,3,5000
7,0.0056,0.0016,8,5000
7,0.008,0.0046,23,5000
7,0.011,0.017,85,5000
7,0.016,0.0708,354,5000
7,0.022,0.2184,1092,5000
7,0.031,0.5164,2582,5000
7,0.044,0.6912,3456,5000
9,0.0005,0,0,5000
9,0.0007,0,0,5000
9,0.001,0,0,5000
9,0.0014,0,0,5000
9,0.002,0,0,5000
9,0.0028,0,0,5000
9,0.004,0.0002,1,5000
9,0.0056,0.0006,3,5000
9,0.008,0.0018,9,5000
9,0.011,0.0094,47,5000
9,0.016,0.0638,319,5000
9,0.022,0.2508,1254,5000
9,0.031,0.5722,2861,5000
9,0.044,0.7458,3729,5000
11,0.0005,0,0,5000
11,0.0007,0,0,5000
11,0.001,0,0,5000
11,0.0014,0,0,5000
11,0.002,0,0,5000
11,0.0028,0,0,5000
11,0.004,0,0,5000
11,0.0056,0,0,5000
11,0.008,0.0004,2,5000
11,0.011,0.0048,24,5000
11,0.016,0.068,340,5000
11,0.022,0.2768,1384,5000
11,0.031,0.6484,3242,5000
11,0.044,0.7582,3791,5000
15,0.0005,0,0,5000
15,0.0007,0,0,5000
15,0.001,0,0,5000
15,0.0014,0,0,5000
15,0.002,0,0,5000
15,0.0028,0,0,5000
15,0.004,0,0,5000
15,0.0056,0,0,5000
15,0.008,0,0,5000
15,0.011,0.0016,8,5000
15,0.016,0.0796,398,5000
15,0.022,0.3616,1808,5000
15,0.031,0.7102,3551,5000
