d,p,logical_error_rate,total_fails,num_shots
3,0.005,0.003,3,1000
3,0.008,0.007,7,1000
3,0.012,0.012,12,1000
3,0.018,0.042,42,1000
3,0.028,0.061,61,1000
3,0.042,0.154,154,1000
3,0.065,0.245,245,1000
3,0.09,0.396,396,1000
3,0.11,0.478,478,1000
3,0.13,0.532,532,1000
3,0.15,0.6,600,1000
3,0.17,0.644,644,1000
3,0.19,0.683,683,1000
5,0.005,0,0,1000
5,0.008,0.001,1,1000
5,0.012,0.009,9,1000
5,0.018,0.014,14,1000
5,0.028,0.072,72,1000
5,0.042,0.182,182,1000
5,0.065,0.442,442,1000
5,0.09,0.612,612,1000
5,0.11,0.661,661,1000
7,0.005,0,0,1000
7,0.008,0.003,3,1000
7,0.012,0,0,1000
7,0.018,0.009,9,1000
7,0.028,0.046,46,1000
7,0.042,0.212,212,1000
7,0.065,0.541,541,1000
7,0.09,0.74,740,1000
9,0.005,0,0,1000
9,0.008,0,0,1000
9,0.012,0.001,1,1000
9,0.018,0.004,4,1000
9,0.028,0.045,45,1000
9,0.042,0.226,226,1000
9,0.065,0.612,612,1000
9,0.09,0.713,713,1000
11,0.005,0,0,1000
11,0.008,0,0,1000
11,0.012,0,0,1000
11,0.018,0.002,2,1000
11,0.028,0.024,24,1000
11,0.042,0.244,244,1000
11,0.065,0.678,678,1000
13,0.005,0,0,1000
13,0.008,0,0,1000
13,0.012,0,0,1000
13,0.018,0.001,1,1000
13,0.028,0.033,33,1000
13,0.042,0.249,249,1000
13,0.065,0.706,706,1000
15,0.005,0,0,1000
15,0.008,0,0,1000
15,0.012,0,0,1000
15,0.018,0,0,1000
15,0.028,0.016,16,1000
15,0.042,0.298,298,1000
15,0.065,0.707,707,1000
17,0.005,0,0,1000
17,0.008,0,0,1000
17,0.012,0,0,1000
17,0.018,0,0,1000
17,0.028,0.01,10,1000
17,0.042,0.333,333,1000
17,0.065,0.741,741,1000
